open,high,low,close,volume,vwap,timestamp,transactions
264.315,264.46,264.3,264.36,40145.0,264.3685,2024-01-16 19:15:00,1019
264.41,264.5,264.35,264.43,29471.0,264.4117,2024-01-16 19:20:00,968
264.4368,264.53,264.39,264.41,19924.0,264.4659,2024-01-16 19:25:00,615
264.45,264.59,264.34,264.57,40076.0,264.4371,2024-01-16 19:30:00,1046
264.56,264.62,264.34,264.4,24069.0,264.4552,2024-01-16 19:35:00,808
264.41,264.47,264.32,264.4,20826.0,264.3892,2024-01-16 19:40:00,718
264.4,264.69,264.4,264.57,30148.0,264.5568,2024-01-16 19:45:00,936
264.58,264.78,264.58,264.69,28014.0,264.6788,2024-01-16 19:50:00,779
264.7,264.82,264.565,264.6,48132.0,264.6616,2024-01-16 19:55:00,1112
264.59,264.68,264.485,264.65,27358.0,264.5978,2024-01-16 20:00:00,815
264.66,264.77,264.57,264.57,30138.0,264.6929,2024-01-16 20:05:00,875
264.59,264.71,264.55,264.65,35627.0,264.6276,2024-01-16 20:10:00,952
264.67,264.81,264.65,264.7331,47720.0,264.7156,2024-01-16 20:15:00,1165
264.74,264.79,264.64,264.76,46447.0,264.7223,2024-01-16 20:20:00,1201
264.75,264.8,264.49,264.56,36014.0,264.6723,2024-01-16 20:25:00,1006
264.57,264.61,264.4202,264.45,53511.0,264.5331,2024-01-16 20:30:00,1637
264.46,264.69,264.46,264.57,58339.0,264.5653,2024-01-16 20:35:00,1951
264.57,264.76,264.53,264.735,50572.0,264.6396,2024-01-16 20:40:00,1565
264.73,264.87,264.59,264.77,92285.0,264.7096,2024-01-16 20:45:00,2303
264.78,265.04,264.64,264.94,137815.0,264.8396,2024-01-16 20:50:00,3241
264.93,265.33,264.85,265.07,254581.0,265.072,2024-01-16 20:55:00,4476
265.24,265.24,265.24,265.24,52924.0,265.24,2024-01-16 21:00:00,26
265.24,265.24,265.24,265.24,5927.0,265.24,2024-01-16 21:05:00,2
265.25,265.25,265.25,265.25,487.0,265.2499,2024-01-16 21:30:00,4
265.25,265.25,265.25,265.25,100.0,265.25,2024-01-16 21:35:00,1
265.2501,265.2501,265.2501,265.2501,205.0,265.2528,2024-01-16 23:15:00,2
265.25,265.25,265.25,265.25,256.0,265.2627,2024-01-16 23:45:00,8
265.25,265.25,265.24,265.24,601.0,265.2467,2024-01-16 23:55:00,6
264.577,264.577,264.577,264.577,583.0,264.4464,2024-01-17 13:00:00,26
264.12,264.12,264.12,264.12,197.0,264.1098,2024-01-17 13:45:00,3
264.42,266.14,264.39,266.14,205097.0,264.8472,2024-01-17 14:30:00,3231
266.0,266.56,265.56,265.71,76160.0,266.1207,2024-01-17 14:35:00,1982
265.725,266.0,265.6,265.72,45597.0,265.7856,2024-01-17 14:40:00,1349
265.71,266.2187,265.69,265.885,57339.0,265.941,2024-01-17 14:45:00,1745
265.89,266.6,265.605,266.35,82434.0,266.1197,2024-01-17 14:50:00,2258
266.345,266.76,266.3,266.62,74127.0,266.5055,2024-01-17 14:55:00,2076
266.5825,266.64,265.98,265.98,79437.0,266.1882,2024-01-17 15:00:00,1928
266.0,266.28,265.78,265.85,66405.0,266.0556,2024-01-17 15:05:00,1463
265.86,266.22,265.85,266.105,51731.0,266.0252,2024-01-17 15:10:00,1170
266.12,266.4,265.93,266.0,61470.0,266.1259,2024-01-17 15:15:00,1361
265.99,266.48,265.92,266.48,45828.0,266.2308,2024-01-17 15:20:00,1055
266.48,266.625,266.33,266.37,53635.0,266.4753,2024-01-17 15:25:00,1241
266.32,266.53,266.06,266.53,48622.0,266.2406,2024-01-17 15:30:00,1246
266.47,266.615,266.24,266.5571,42191.0,266.3993,2024-01-17 15:35:00,1067
266.56,266.725,266.44,266.49,44493.0,266.5596,2024-01-17 15:40:00,1102
